"","ano","nombre_comun","precio_promedio","precio_sd","n_obs","nino34_promedio","nino34_sd"
"1",2007,"Angelito",11.0947368421053,3.68917674592268,190,27.5,0.956208976145176
"2",2007,"Azul",7.67741935483871,2.21252480761195,155,27.5,0.956208976145176
"3",2007,"Cazon",10.8611111111111,3.14149522489881,216,27.5,0.956208976145176
"4",2007,"Gavilan",5.625,1.70782512765993,16,27.5,0.956208976145176
"5",2007,"Mako",NA,NA,NA,27.5,0.956208976145176
"6",2007,"Mamon",NA,NA,NA,27.5,0.956208976145176
"7",2007,"Mayo",12.8095238095238,2.89859591945779,42,27.5,0.956208976145176
"8",2007,"Pez guitarra",9.37248322147651,2.75097433759656,298,27.5,0.956208976145176
"9",2007,"Prieto",7.5,3.53553390593274,2,27.5,0.956208976145176
"10",2007,"Sardinero",20,NA,1,27.5,0.956208976145176
"11",2007,"Sedoso",NA,NA,NA,27.5,0.956208976145176
"12",2007,"Sulfin",NA,NA,NA,27.5,0.956208976145176
"13",2007,"Tiburon",11.0968586387435,4.06812596887064,382,27.5,0.956208976145176
"14",2007,"Zorro",NA,NA,NA,27.5,0.956208976145176
"15",2008,"Angelito",12.6440677966102,3.97122720456507,236,27.09,0.742797231600069
"16",2008,"Azul",7.88444444444444,2.44309847503742,225,27.09,0.742797231600069
"17",2008,"Cazon",11.9543378995434,3.38747245426726,219,27.09,0.742797231600069
"18",2008,"Gavilan",5.24528301886792,0.551419858789683,53,27.09,0.742797231600069
"19",2008,"Mako",NA,NA,NA,27.09,0.742797231600069
"20",2008,"Mamon",NA,NA,NA,27.09,0.742797231600069
"21",2008,"Mayo",13.3333333333333,2.88675134594813,3,27.09,0.742797231600069
"22",2008,"Pez guitarra",9.81019830028329,3.3098867419681,353,27.09,0.742797231600069
"23",2008,"Prieto",NA,NA,NA,27.09,0.742797231600069
"24",2008,"Sardinero",NA,NA,NA,27.09,0.742797231600069
"25",2008,"Sedoso",12,NA,1,27.09,0.742797231600069
"26",2008,"Sulfin",NA,NA,NA,27.09,0.742797231600069
"27",2008,"Tiburon",12.2063492063492,3.54355422658897,378,27.09,0.742797231600069
"28",2008,"Zorro",14.5,0.707106781186548,2,27.09,0.742797231600069
"29",2009,"Angelito",11.8487804878049,4.09944532063453,205,28.34,0.860931049926341
"30",2009,"Azul",7.78059071729958,2.20994546801689,237,28.34,0.860931049926341
"31",2009,"Cazon",11.1470588235294,3.49915778967333,238,28.34,0.860931049926341
"32",2009,"Gavilan",5.04918032786885,0.717082736002774,61,28.34,0.860931049926341
"33",2009,"Mako",NA,NA,NA,28.34,0.860931049926341
"34",2009,"Mamon",8,NA,1,28.34,0.860931049926341
"35",2009,"Mayo",12.75,2.2823432934357,56,28.34,0.860931049926341
"36",2009,"Pez guitarra",9.29441624365482,3.10619823418697,394,28.34,0.860931049926341
"37",2009,"Prieto",12,0,2,28.34,0.860931049926341
"38",2009,"Sardinero",NA,NA,NA,28.34,0.860931049926341
"39",2009,"Sedoso",15.8333333333333,0.408248290463863,6,28.34,0.860931049926341
"40",2009,"Sulfin",NA,NA,NA,28.34,0.860931049926341
"41",2009,"Tiburon",11.3866666666667,3.87347786039453,450,28.34,0.860931049926341
"42",2009,"Zorro",13.8461538461538,2.19264504826757,13,28.34,0.860931049926341
"43",2010,"Angelito",11.3297101449275,3.62265416351131,276,28.2,1.40255043662348
"44",2010,"Azul",9.18226600985222,2.78455442658804,203,28.2,1.40255043662348
"45",2010,"Cazon",11.0322580645161,3.1364221259195,310,28.2,1.40255043662348
"46",2010,"Gavilan",5,0,72,28.2,1.40255043662348
"47",2010,"Mako",NA,NA,NA,28.2,1.40255043662348
"48",2010,"Mamon",NA,NA,NA,28.2,1.40255043662348
"49",2010,"Mayo",12,0,3,28.2,1.40255043662348
"50",2010,"Pez guitarra",9.88888888888889,3.31202168204518,387,28.2,1.40255043662348
"51",2010,"Prieto",12,0,5,28.2,1.40255043662348
"52",2010,"Sardinero",12,NA,1,28.2,1.40255043662348
"53",2010,"Sedoso",12.1666666666667,0.577350269189626,12,28.2,1.40255043662348
"54",2010,"Sulfin",NA,NA,NA,28.2,1.40255043662348
"55",2010,"Tiburon",11.1090909090909,3.81125405687183,440,28.2,1.40255043662348
"56",2010,"Zorro",11.6428571428571,1.5984195491,14,28.2,1.40255043662348
"57",2011,"Angelito",11.6748466257669,3.55708896722806,163,27.41,0.797323173138874
"58",2011,"Azul",8.74803149606299,2.83114342242939,127,27.41,0.797323173138874
"59",2011,"Cazon",11.0497512437811,3.26151995821135,201,27.41,0.797323173138874
"60",2011,"Gavilan",5.11538461538461,0.582551728035463,52,27.41,0.797323173138874
"61",2011,"Mako",NA,NA,NA,27.41,0.797323173138874
"62",2011,"Mamon",NA,NA,NA,27.41,0.797323173138874
"63",2011,"Mayo",16,5.65685424949238,2,27.41,0.797323173138874
"64",2011,"Pez guitarra",10.222972972973,3.43130344546504,296,27.41,0.797323173138874
"65",2011,"Prieto",12.625,0.916125381312904,8,27.41,0.797323173138874
"66",2011,"Sardinero",16,NA,1,27.41,0.797323173138874
"67",2011,"Sedoso",11.8,1.37321312465119,15,27.41,0.797323173138874
"68",2011,"Sulfin",NA,NA,NA,27.41,0.797323173138874
"69",2011,"Tiburon",11.9029126213592,3.72909209496491,309,27.41,0.797323173138874
"70",2011,"Zorro",11,1.52752523165195,13,27.41,0.797323173138874
"71",2012,"Angelito",12.7746478873239,3.81373844658586,142,27.75,0.644745662798106
"72",2012,"Azul",8.89201877934272,2.72004823757595,213,27.75,0.644745662798106
"73",2012,"Cazon",11.8288770053476,3.73340346336622,187,27.75,0.644745662798106
"74",2012,"Gavilan",5.13793103448276,0.742781352708207,29,27.75,0.644745662798106
"75",2012,"Mako",NA,NA,NA,27.75,0.644745662798106
"76",2012,"Mamon",10,1.73205080756888,3,27.75,0.644745662798106
"77",2012,"Mayo",12.2857142857143,0.755928946018454,7,27.75,0.644745662798106
"78",2012,"Pez guitarra",9.80149812734082,3.17916111833764,267,27.75,0.644745662798106
"79",2012,"Prieto",14,3.09838667696593,26,27.75,0.644745662798106
"80",2012,"Sardinero",15.5,15.1986841535707,4,27.75,0.644745662798106
"81",2012,"Sedoso",12.2826086956522,2.73790709588556,46,27.75,0.644745662798106
"82",2012,"Sulfin",NA,NA,NA,27.75,0.644745662798106
"83",2012,"Tiburon",10.3550295857988,3.68387151598737,338,27.75,0.644745662798106
"84",2012,"Zorro",12.6764705882353,3.20719445258383,34,27.75,0.644745662798106
"85",2013,"Angelito",11.552380952381,3.00953916859808,105,27.57,0.505235468655833
